"label","id","size","steps","seed","initialization","randomRuleBias","randomSeed","populationSize","eliteCount","elitism","mutationPolicy","mutationRate","mutationBeta","crossover","crossoverRate","tournamentSize","immigrantRate","evaluationWorkers","expression","generation","evaluations","elapsedMs","exposed","totalCells","meanStack","lifetime","fitness","origin","genomeHash"
"Light study 01 · efficient footprint","801ebd02-daed-4742-aae9-834f276cd9a0","49","128","cross","mutants","sparse","9090101","128","2","distinct","heavyTailed","0.034","2.5","none","0","2","0.05","2","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","289","36005","107493.71097899857","2013","20602","10.234475906607054","103","0.26207090646243253","mutant","1c7c57e10bdee66bc815b9f220ce30542702031bcd2515197d579881c8afc04e"
"Light study 02 · contained branches","5ee45d77-2682-4a6f-9e7b-37a5badf940a","49","128","cross","mutants","sparse","9090102","128","2","distinct","heavyTailed","0.034","2.5","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","808","100460","495549.7662529995","1045","12830","12.277511961722489","122","0.12421354239529232","mutant","2ba826ff81afa2755c7555adb5a0c2cadc224234f12e65c645672a997c4aa690"
"Light study 03 · independent mutation","a7bb539b-3358-4c70-b40c-79e143ae5fcc","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","1011","100054","524130.6649159998","1245","12510","10.048192771084338","84","0.16358113313432793","mutant","157767d3640fef3d7a89f5e8666c33b22c0db9123f54a5963a294c613ec76e86"
"Light study 04 · tournament three","412ea55b-a533-4b82-bba2-0d09c65d0e78","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.03409090909090909","","none","0","3","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","1038","100623","616055.9472669985","1141","16194","14.192813321647677","88","0.12614186249550566","mutant","7a75d05c39844cfe61460dd61e8b97a836b3d72c4d0e488fc77a37982b71a6e3"
"Light study 05 · moderate crossover","4d785abe-4181-43e8-92b6-9b9d7e2b72e3","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.03409090909090909","","uniform","0.35","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","921","100029","432875.08857499994","1013","13618","13.443237907206317","122","0.1150708558106567","crossover","ba9ed08f5099669e1fa15cc1e989552dd3796f55f4abbdd3b4add085bb4c2cb7"
"Light study 06 · half an edit","bcc8d792-d29a-4aa2-ad44-e4c013fb71bc","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.011363636363636364","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","3047","100501","834163.7589730127","1161","14150","12.18776916451335","112","0.13850898591452365","mutant","545fce09b79e57244428697aceee2eb3cfd305d8db1b76926910c7e2166ccd67"
"Light study 07 · three edits","2f72fd86-0f05-445f-8ce8-ab889a4c8b5f","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.06818181818181818","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","839","101243","586911.2552270032","1057","12494","11.820245979186376","109","0.12804704782770154","mutant","981b29b627cd659cb70aa4b9f652d601eb7711056d23096cdef4f5d7d1a22a08"
"Light study 08 · gentler material penalty","b4a8c2e2-6e78-481f-8c04-1e4cf78103f0","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(sqrt(exposedCells / max(1, totalCells)))","1013","100271","537531.7988609956","1033","8850","8.567279767666989","86","0.2514765097697844","mutant","bb882d5ed8b276a352589692635836d2a4a028f7f361638d774988c543c6c5d7"
"Light study 09 · stronger material penalty","4f07ae27-0f36-4e69-9468-e14a2d520673","49","128","cross","mutants","sparse","9090102","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * exposedCells / max(1, totalCells)","1026","101531","587414.2902640109","1245","12510","10.048192771084338","84","0.0516046970836492","mutant","cf54c84f3c14d56396ddf74fb74ec40ad7fa50e1312c916a0f706b213b042612"
"Light study 10 · baseline repeat B","06396666-2f03-42d7-bec3-9b4a1c3f0849","49","128","cross","mutants","sparse","9090103","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","1011","100267","526582.0682469918","1149","12418","10.807658833768494","98","0.1455667062241506","mutant","9545a62d08894e59f12cfda4b8589ccecaca0f75c9d6ccedf5ae6aa656d556fa"
